Disease,Symptoms_EN,Prevention_EN,Vaccine_EN,Symptoms_OD,Prevention_OD,Vaccine_OD,Source,NLU_Examples_Symptoms_EN,NLU_Examples_Prevention_EN,NLU_Examples_Vaccine_EN,NLU_Examples_Symptoms_OD,NLU_Examples_Prevention_OD,NLU_Examples_Vaccine_OD
Dengue,"High fever, severe headache, pain behind the eyes, joint and muscle pain, rash.","Use mosquito nets, remove stagnant water, use mosquito repellent, wear protective clothing.",A dengue vaccine exists but is not widely used for general population in India; consult health authorities.,"ଉଚ୍ଚ ଜ୍ୱର, ତୀବ୍ର ମୁଣ୍ଡବେଦନା, ଆଖି ପଛରେ ବେଥା, ଜଣ୍ଡୁ/ପେଶୀରେ ବେଥା, ଚର୍ମରେ ରାଶ।","କୀଟପତଙ୍ଗ ନେଟ ବ୍ୟବହାର କରନ୍ତୁ, ଜଳ ଜମା ଥିବା ଜଗା ଦୁର କରନ୍ତୁ, ମୋସ୍କିଟୋ ରିପେଲେଣ୍ଟ ପ୍ରୟୋଗ କରନ୍ତୁ।","ଡେଙ୍ଗୁ ପାଇଁ ଟୀକା ଅଛି, କିନ୍ତୁ ସାଧାରଣ ଜନସାଧାରଣ ପାଇଁ ପ୍ରଚଲିତ ନୁହେଁ; ସ୍ଥାନୀୟ ସ୍ୱାସ୍ଥ୍ୟ କେନ୍ଦ୍ରଙ୍କ ସହ ପରାମର୍ଶ କରନ୍ତୁ।",https://www.who.int/news-room/fact-sheets/detail/dengue,"What are the symptoms of Dengue? || Tell me the symptoms of Dengue. || How do I know if I have Dengue? || Signs of Dengue? || Symptoms for Dengue || I think I have Dengue, what are the symptoms? || How does Dengue show up? || Common symptoms of Dengue",How to prevent Dengue? || Prevention tips for Dengue. || How can I avoid Dengue? || Ways to prevent Dengue || Preventive measures for Dengue || How to reduce risk of Dengue? || Steps to prevent Dengue,Is there a vaccine for Dengue? || Tell me about Dengue vaccine. || Do we have vaccination for Dengue? || Dengue vaccine availability? || Is Dengue vaccine recommended?,ଡେଙ୍ଗୁ ଲକ୍ଷଣ କ'ଣ? || ଡେଙ୍ଗୁ ର ଲକ୍ଷଣ ବତାନ୍ତୁ। || ମୋତେ କିଭଳି ଜଣିବି ମୋତେ ଡେଙ୍ଗୁ ହୋଇଛି କି? || ଡେଙ୍ଗୁ ର ସାଧାରଣ ଲକ୍ଷଣ କ'ଣ?,ଡେଙ୍ଗୁ କେମିତି ରୋଧ କରିବି? || ଡେଙ୍ଗୁ ପାଇଁ ପ୍ରତିରୋଧ ଟିପ୍ସ। || ଡେଙ୍ଗୁ ରୁ କିପରି ବଚିବି?,ଡେଙ୍ଗୁ ପାଇଁ ଟୀକା ଅଛି କି? || ଡେଙ୍ଗୁ ଟୀକା ବିଷୟରେ କହନ୍ତୁ।
Malaria,"Fever, chills, sweats, headache, nausea, vomiting, body aches.","Use bed nets, indoor residual spraying, remove standing water, use antimalarial prophylaxis as advised.","RTS,S malaria vaccine is available in some settings; check public health guidance.","ଜ୍ୱର, ଠଣ୍ଡ, ପସିନା, ମୁଣ୍ଡବେଦନା, ମଳଭରଣ, ଓଠ ଉଲ୍ଟା।","ଶୟନଚାଦର ନେଟ୍ ବ୍ୟବହାର କରନ୍ତୁ, ଘର ଭିତରେ ସଫାଇ ଏବଂ ଜଳ ଜମା ନଥିବାକୁ ନିଶ୍ଚିତ କରନ୍ତୁ।",କିଛି ଅଞ୍ଚଳରେ ମ୍ୟାଲେରିଆ ଟୀକା ଉପଲବ୍ଧ; ସ୍ଥାନୀୟ ନିର୍ଦ୍ଦେଶାବଳୀ ଦେଖନ୍ତୁ।,https://www.who.int/health-topics/malaria,"What are the symptoms of Malaria? || Tell me the symptoms of Malaria. || How do I know if I have Malaria? || Signs of Malaria? || Symptoms for Malaria || I think I have Malaria, what are the symptoms? || How does Malaria show up? || Common symptoms of Malaria",How to prevent Malaria? || Prevention tips for Malaria. || How can I avoid Malaria? || Ways to prevent Malaria || Preventive measures for Malaria || How to reduce risk of Malaria? || Steps to prevent Malaria,Is there a vaccine for Malaria? || Tell me about Malaria vaccine. || Do we have vaccination for Malaria? || Malaria vaccine availability? || Is Malaria vaccine recommended?,ମ୍ୟାଲେରିଆ ଲକ୍ଷଣ କ'ଣ? || ମ୍ୟାଲେରିଆ ର ଲକ୍ଷଣ ବତାନ୍ତୁ। || ମୋତେ କିଭଳି ଜଣିବି ମୋତେ ମ୍ୟାଲେରିଆ ହୋଇଛି କି? || ମ୍ୟାଲେରିଆ ର ସାଧାରଣ ଲକ୍ଷଣ କ'ଣ?,ମ୍ୟାଲେରିଆ କେମିତି ରୋଧ କରିବି? || ମ୍ୟାଲେରିଆ ପାଇଁ ପ୍ରତିରୋଧ ଟିପ୍ସ। || ମ୍ୟାଲେରିଆ ରୁ କିପରି ବଚିବି?,ମ୍ୟାଲେରିଆ ପାଇଁ ଟୀକା ଅଛି କି? || ମ୍ୟାଲେରିଆ ଟୀକା ବିଷୟରେ କହନ୍ତୁ।
Tuberculosis,"Persistent cough for more than two weeks, weight loss, night sweats, fever.","Early diagnosis and treatment of cases, vaccination (BCG), improved ventilation, cough hygiene.",BCG vaccine provides protection against severe forms in children; national TB program has guidelines.,"ଦୁଇ ସପ୍ତାହ ଠାରୁ ଅଧିକ ସମୟ ଧରି ଲଗାତାର ଖଙ୍କି, ଓଜନ କମିବା, ରାତିରେ ଅଧିକ ପସିନା, ଜ୍ୱର।","ଶୀଘ୍ର ଚିକିତ୍ସା ଏବଂ ଚିହ୍ନଟ, BCG ଟୀକା, ଭଲ ହାବା ବ୍ୟବସ୍ଥା, ଖଂକି ଶୌଚୀତ୍ୟ।",BCG ଟୀକା ଶିଶୁଙ୍କ ପାଇଁ ରୋଗର ଗମ୍ଭୀର ଆକାରକୁ ରୋକେ; ନାଗରିକ ସ୍ରେଣୀ ନୀତି ଅନୁଯାୟୀ।,https://www.who.int/teams/global-tuberculosis-programme,"What are the symptoms of Tuberculosis? || Tell me the symptoms of Tuberculosis. || How do I know if I have Tuberculosis? || Signs of Tuberculosis? || Symptoms for Tuberculosis || I think I have Tuberculosis, what are the symptoms? || How does Tuberculosis show up? || Common symptoms of Tuberculosis",How to prevent Tuberculosis? || Prevention tips for Tuberculosis. || How can I avoid Tuberculosis? || Ways to prevent Tuberculosis || Preventive measures for Tuberculosis || How to reduce risk of Tuberculosis? || Steps to prevent Tuberculosis,Is there a vaccine for Tuberculosis? || Tell me about Tuberculosis vaccine. || Do we have vaccination for Tuberculosis? || Tuberculosis vaccine availability? || Is Tuberculosis vaccine recommended?,ତୁବର୍କୁଲୋସିସ୍ ଲକ୍ଷଣ କ'ଣ? || ତୁବର୍କୁଲୋସିସ୍ ର ଲକ୍ଷଣ ବତାନ୍ତୁ। || ମୋତେ କିଭଳି ଜଣିବି ମୋତେ ତୁବର୍କୁଲୋସିସ୍ ହୋଇଛି କି? || ତୁବର୍କୁଲୋସିସ୍ ର ସାଧାରଣ ଲକ୍ଷଣ କ'ଣ?,ତୁବର୍କୁଲୋସିସ୍ କେମିତି ରୋଧ କରିବି? || ତୁବର୍କୁଲୋସିସ୍ ପାଇଁ ପ୍ରତିରୋଧ ଟିପ୍ସ। || ତୁବର୍କୁଲୋସିସ୍ ରୁ କିପରି ବଚିବି?,ତୁବର୍କୁଲୋସିସ୍ ପାଇଁ ଟୀକା ଅଛି କି? || ତୁବର୍କୁଲୋସିସ୍ ଟୀକା ବିଷୟରେ କହନ୍ତୁ।
COVID-19,"Fever, dry cough, tiredness, loss of taste or smell, difficulty breathing in severe cases.","Vaccination, mask wearing in crowded places, hand hygiene, isolation when infected.","Multiple vaccines are available and used in India (e.g., Covishield, Covaxin); follow local guidance for doses.","ଜ୍ୱର, ସୁକୁସୁକି କାଶ, ଥକାନି, ସ୍ୱାଦ ନା ଥିବା, ଗଭୀର ଶ୍୵ାସ ନେବାରେ କଷ୍ଟ।","ଟୀକାକରଣ, ଭିଡ଼ ଥିବା ସ୍ଥାନରେ ମାସ୍କ, ହାତ ସଫା, ସଂକ୍ରମିତ ଲୋକଙ୍କୁ ଅଲଗା ରଖନ୍ତୁ।","ଭାରତରେ କେତେକ ଟୀକା ଉପଲବ୍ଧ (Covishield, Covaxin); ନିର୍ଦ୍ଦେଶାନୁସାରେ ଡୋସ୍ ନିଅନ୍ତୁ।",https://www.mohfw.gov.in/,"What are the symptoms of COVID-19? || Tell me the symptoms of COVID-19. || How do I know if I have COVID-19? || Signs of COVID-19? || Symptoms for COVID-19 || I think I have COVID-19, what are the symptoms? || How does COVID-19 show up? || Common symptoms of COVID-19",How to prevent COVID-19? || Prevention tips for COVID-19. || How can I avoid COVID-19? || Ways to prevent COVID-19 || Preventive measures for COVID-19 || How to reduce risk of COVID-19? || Steps to prevent COVID-19,Is there a vaccine for COVID-19? || Tell me about COVID-19 vaccine. || Do we have vaccination for COVID-19? || COVID-19 vaccine availability? || Is COVID-19 vaccine recommended?,କୋଭିଡ୍-19 ଲକ୍ଷଣ କ'ଣ? || କୋଭିଡ୍-19 ର ଲକ୍ଷଣ ବତାନ୍ତୁ। || ମୋତେ କିଭଳି ଜଣିବି ମୋତେ କୋଭିଡ୍-19 ହୋଇଛି କି? || କୋଭିଡ୍-19 ର ସାଧାରଣ ଲକ୍ଷଣ କ'ଣ?,କୋଭିଡ୍-19 କେମିତି ରୋଧ କରିବି? || କୋଭିଡ୍-19 ପାଇଁ ପ୍ରତିରୋଧ ଟିପ୍ସ। || କୋଭିଡ୍-19 ରୁ କିପରି ବଚିବି?,କୋଭିଡ୍-19 ପାଇଁ ଟୀକା ଅଛି କି? || କୋଭିଡ୍-19 ଟୀକା ବିଷୟରେ କହନ୍ତୁ।
Diabetes (Type 2),"Increased thirst, frequent urination, hunger, fatigue, blurred vision, slow-healing wounds.","Healthy diet, regular exercise, maintain healthy weight, regular screening.",No vaccine; management via lifestyle and medication.,"ବହୁତ ପାଣି ପିଇବା, ବେସି ପେଶାବ, ପ୍ରଭାତ ଭୁକ୍ତି, କ୍ଲାନ୍ତି, ଧୁସର ଦୃଷ୍ଟି, ଘାଉ ସେଠାରେ ଧୀରେ ଭଲ ପାଉଛି।","ସୁସ୍ଥ ଖାଦ୍ୟ, ନିୟମିତ ଅଭ୍ୟାସ, ଓଜନ ନିୟନ୍ତ୍ରଣ, ପରୀକ୍ଷା।",କୌଣସି ଟୀକା ନାହିଁ; ଜୀବନଶୈଳୀ ଏବଂ ଔଷଧ ଦ୍ୱାରା ନିୟନ୍ତ୍ରଣ।,https://www.who.int/health-topics/diabetes,"What are the symptoms of Diabetes (Type 2)? || Tell me the symptoms of Diabetes (Type 2). || How do I know if I have Diabetes (Type 2)? || Signs of Diabetes (Type 2)? || Symptoms for Diabetes (Type 2) || I think I have Diabetes (Type 2), what are the symptoms? || How does Diabetes (Type 2) show up? || Common symptoms of Diabetes (Type 2)",How to prevent Diabetes (Type 2)? || Prevention tips for Diabetes (Type 2). || How can I avoid Diabetes (Type 2)? || Ways to prevent Diabetes (Type 2) || Preventive measures for Diabetes (Type 2) || How to reduce risk of Diabetes (Type 2)? || Steps to prevent Diabetes (Type 2),Is there a vaccine for Diabetes (Type 2)? || Tell me about Diabetes (Type 2) vaccine. || Do we have vaccination for Diabetes (Type 2)? || Diabetes (Type 2) vaccine availability? || Is Diabetes (Type 2) vaccine recommended?,ଡାୟାବେଟିସ୍ ଲକ୍ଷଣ କ'ଣ? || ଡାୟାବେଟିସ୍ ର ଲକ୍ଷଣ ବତାନ୍ତୁ। || ମୋତେ କିଭଳି ଜଣିବି ମୋତେ ଡାୟାବେଟିସ୍ ହୋଇଛି କି? || ଡାୟାବେଟିସ୍ ର ସାଧାରଣ ଲକ୍ଷଣ କ'ଣ?,ଡାୟାବେଟିସ୍ କେମିତି ରୋଧ କରିବି? || ଡାୟାବେଟିସ୍ ପାଇଁ ପ୍ରତିରୋଧ ଟିପ୍ସ। || ଡାୟାବେଟିସ୍ ରୁ କିପରି ବଚିବି?,ଡାୟାବେଟିସ୍ ପାଇଁ ଟୀକା ଅଛି କି? || ଡାୟାବେଟିସ୍ ଟୀକା ବିଷୟରେ କହନ୍ତୁ।
Hypertension,"Often no symptoms; sometimes headaches, shortness of breath, nosebleeds if severe.","Healthy diet, reduce salt, regular exercise, avoid excessive alcohol, regular blood pressure checks.",No vaccine; managed with lifestyle changes and medication.,"ଅନେକ ସମୟ ଲକ୍ଷଣ ନାହିଁ; କେବେକି ମୁଣ୍ଡବେଦନା, ଶ୍ୱାସକ୍ଷମତାର କମିବା, ନାକରୁ ରକ୍ତସ୍ରାବ।","ସୁସ୍ଥ ଖାଦ୍ୟ, ଲୁଣ ହ୍ରାସ, ଅଭ୍ୟାସ, ମଦ ରୋକ, ରକ୍ତଚାପ ଯାଞ୍ଚ।",କୌଣସି ଟୀକା ନାହିଁ; ଜୀବନଶୈଳୀ ଏବଂ ଔଷଧ ଦ୍ୱାରା ପରିଚାଳନା।,https://www.who.int/health-topics/hypertension,"What are the symptoms of Hypertension? || Tell me the symptoms of Hypertension. || How do I know if I have Hypertension? || Signs of Hypertension? || Symptoms for Hypertension || I think I have Hypertension, what are the symptoms? || How does Hypertension show up? || Common symptoms of Hypertension",How to prevent Hypertension? || Prevention tips for Hypertension. || How can I avoid Hypertension? || Ways to prevent Hypertension || Preventive measures for Hypertension || How to reduce risk of Hypertension? || Steps to prevent Hypertension,Is there a vaccine for Hypertension? || Tell me about Hypertension vaccine. || Do we have vaccination for Hypertension? || Hypertension vaccine availability? || Is Hypertension vaccine recommended?,ହାଇପରଟେନସନ୍ ଲକ୍ଷଣ କ'ଣ? || ହାଇପରଟେନସନ୍ ର ଲକ୍ଷଣ ବତାନ୍ତୁ। || ମୋତେ କିଭଳି ଜଣିବି ମୋତେ ହାଇପରଟେନସନ୍ ହୋଇଛି କି? || ହାଇପରଟେନସନ୍ ର ସାଧାରଣ ଲକ୍ଷଣ କ'ଣ?,ହାଇପରଟେନସନ୍ କେମିତି ରୋଧ କରିବି? || ହାଇପରଟେନସନ୍ ପାଇଁ ପ୍ରତିରୋଧ ଟିପ୍ସ। || ହାଇପରଟେନସନ୍ ରୁ କିପରି ବଚିବି?,ହାଇପରଟେନସନ୍ ପାଇଁ ଟୀକା ଅଛି କି? || ହାଇପରଟେନସନ୍ ଟୀକା ବିଷୟରେ କହନ୍ତୁ।
Typhoid,"Prolonged high fever, weakness, stomach pain, headache, loss of appetite, sometimes rash.","Safe drinking water, good sanitation, hand hygiene, vaccination where recommended.",Typhoid vaccines are available and recommended in certain settings.,"ଦୀର୍ଘକାଳୀନ ଉଚ୍ଚ ଜ୍ୱର, କମଜୋରି, ପେଟ ଯନ୍ତ୍ରଣା, ମୁଣ୍ଡ ବେଥା, ଭୁକ୍ ସମସ୍ୟା, କେବେକି ରାଶ।","ସୁରକ୍ଷିତ ପାନୀ, ସାଫ ସଫାଇ, ହାତ ସଫାଇ, ଆବଶ୍ୟକତା ଅନୁସାରେ ଟୀକାକରଣ।",,https://www.who.int/teams/global-immunization,"What are the symptoms of Typhoid? || Tell me the symptoms of Typhoid. || How do I know if I have Typhoid? || Signs of Typhoid? || Symptoms for Typhoid || I think I have Typhoid, what are the symptoms? || How does Typhoid show up? || Common symptoms of Typhoid",How to prevent Typhoid? || Prevention tips for Typhoid. || How can I avoid Typhoid? || Ways to prevent Typhoid || Preventive measures for Typhoid || How to reduce risk of Typhoid? || Steps to prevent Typhoid,Is there a vaccine for Typhoid? || Tell me about Typhoid vaccine. || Do we have vaccination for Typhoid? || Typhoid vaccine availability? || Is Typhoid vaccine recommended?,ଟାଇଫଏଡ୍ ଲକ୍ଷଣ କ'ଣ? || ଟାଇଫଏଡ୍ ର ଲକ୍ଷଣ ବତାନ୍ତୁ। || ମୋତେ କିଭଳି ଜଣିବି ମୋତେ ଟାଇଫଏଡ୍ ହୋଇଛି କି? || ଟାଇଫଏଡ୍ ର ସାଧାରଣ ଲକ୍ଷଣ କ'ଣ?,ଟାଇଫଏଡ୍ କେମିତି ରୋଧ କରିବି? || ଟାଇଫଏଡ୍ ପାଇଁ ପ୍ରତିରୋଧ ଟିପ୍ସ। || ଟାଇଫଏଡ୍ ରୁ କିପରି ବଚିବି?,ଟାଇଫଏଡ୍ ପାଇଁ ଟୀକା ଅଛି କି? || ଟାଇଫଏଡ୍ ଟୀକା ବିଷୟରେ କହନ୍ତୁ।
Chikungunya,"Sudden high fever, severe joint pain, muscle pain, headache, rash.","Avoid mosquito bites, remove standing water, use repellents and nets.",No widely used vaccine currently; prevention focuses on mosquito control.,"ଅଚାନକ ଉଚ୍ଚ ଜ୍ୱର, ଗୁଡ଼ିକୁ ଯନ୍ତ୍ରଣା, ପେଶୀ ବେଥା, ମୁଣ୍ଡ ବେଥା, ରାଶ।","ମସ୍କିଟୋ କଟାଦାଟି ରୁ ବଚାଅ, ଜଳ ଜମା କରିବା ନଥିବାକୁ ନିଶ୍ଚିତ କରନ୍ତୁ।",ବର୍ତ୍ତମାନ ଟୀକା ବ୍ୟବହୃତ ନହୁଁ; ପ୍ରତିରୋଧ କୀଟନାଶକ ନିୟନ୍ତ୍ରଣ ଉପରେ ନିର୍ଭର କରେ।,https://www.who.int/health-topics/chikungunya,"What are the symptoms of Chikungunya? || Tell me the symptoms of Chikungunya. || How do I know if I have Chikungunya? || Signs of Chikungunya? || Symptoms for Chikungunya || I think I have Chikungunya, what are the symptoms? || How does Chikungunya show up? || Common symptoms of Chikungunya",How to prevent Chikungunya? || Prevention tips for Chikungunya. || How can I avoid Chikungunya? || Ways to prevent Chikungunya || Preventive measures for Chikungunya || How to reduce risk of Chikungunya? || Steps to prevent Chikungunya,Is there a vaccine for Chikungunya? || Tell me about Chikungunya vaccine. || Do we have vaccination for Chikungunya? || Chikungunya vaccine availability? || Is Chikungunya vaccine recommended?,ଚିକୁନଗୁନୀଆ ଲକ୍ଷଣ କ'ଣ? || ଚିକୁନଗୁନୀଆ ର ଲକ୍ଷଣ ବତାନ୍ତୁ। || ମୋତେ କିଭଳି ଜଣିବି ମୋତେ ଚିକୁନଗୁନୀଆ ହୋଇଛି କି? || ଚିକୁନଗୁନୀଆ ର ସାଧାରଣ ଲକ୍ଷଣ କ'ଣ?,ଚିକୁନଗୁନୀଆ କେମିତି ରୋଧ କରିବି? || ଚିକୁନଗୁନୀଆ ପାଇଁ ପ୍ରତିରୋଧ ଟିପ୍ସ। || ଚିକୁନଗୁନୀଆ ରୁ କିପରି ବଚିବି?,ଚିକୁନଗୁନୀଆ ପାଇଁ ଟୀକା ଅଛି କି? || ଚିକୁନଗୁନୀଆ ଟୀକା ବିଷୟରେ କହନ୍ତୁ।
Hepatitis A,"Fatigue, nausea, abdominal pain, loss of appetite, low-grade fever, jaundice.","Safe water, improved sanitation, proper food handling, vaccination available.",Hepatitis A vaccine is available and effective.,"କ୍ଲାନ୍ତି, ମଳଭରଣ, ପେଟ ଯନ୍ତ୍ରଣା, ଭୁକ୍ କମିବା, ହାଲୁକା ଜ୍ୱର, ପିତ୍ତଜ୍ଞା (ଇଲେ) ।","ସୁରକ୍ଷିତ ପାନୀ, ସଫାଇ, ଖାଦ୍ୟ ସଂରକ୍ଷଣ, ଟୀକାକରଣ ଉପଲବ୍ଧ।",ହେପାଟାଇଟିସ୍ A ଟୀକା ଉପଲବ୍ଧ ଏବଂ ପ୍ରଭାବଶାଳୀ।,https://www.who.int/health-topics/hepatitis,"What are the symptoms of Hepatitis A? || Tell me the symptoms of Hepatitis A. || How do I know if I have Hepatitis A? || Signs of Hepatitis A? || Symptoms for Hepatitis A || I think I have Hepatitis A, what are the symptoms? || How does Hepatitis A show up? || Common symptoms of Hepatitis A",How to prevent Hepatitis A? || Prevention tips for Hepatitis A. || How can I avoid Hepatitis A? || Ways to prevent Hepatitis A || Preventive measures for Hepatitis A || How to reduce risk of Hepatitis A? || Steps to prevent Hepatitis A,Is there a vaccine for Hepatitis A? || Tell me about Hepatitis A vaccine. || Do we have vaccination for Hepatitis A? || Hepatitis A vaccine availability? || Is Hepatitis A vaccine recommended?,ହେପାଟାଇଟିସ୍ A ଲକ୍ଷଣ କ'ଣ? || ହେପାଟାଇଟିସ୍ A ର ଲକ୍ଷଣ ବତାନ୍ତୁ। || ମୋତେ କିଭଳି ଜଣିବି ମୋତେ ହେପାଟାଇଟିସ୍ A ହୋଇଛି କି? || ହେପାଟାଇଟିସ୍ A ର ସାଧାରଣ ଲକ୍ଷଣ କ'ଣ?,ହେପାଟାଇଟିସ୍ A କେମିତି ରୋଧ କରିବି? || ହେପାଟାଇଟିସ୍ A ପାଇଁ ପ୍ରତିରୋଧ ଟିପ୍ସ। || ହେପାଟାଇଟିସ୍ A ରୁ କିପରି ବଚିବି?,ହେପାଟାଇଟିସ୍ A ପାଇଁ ଟୀକା ଅଛି କି? || ହେପାଟାଇଟିସ୍ A ଟୀକା ବିଷୟରେ କହନ୍ତୁ।
Leptospirosis,"Fever, headache, chills, muscle aches, vomiting, jaundice in severe cases.","Avoid contact with contaminated water, use protective clothing, rodent control.",Human vaccines limited; prevention focuses on environmental measures.,"ଜ୍ୱର, ମୁଣ୍ଡ ବେଥା, ଠଣ୍ଡ, ପେଶୀ ବେଥା, ଅମଳ, ଗମ୍ଭୀର ଘଟଣାରେ ପିତ୍ତଜ୍ଞା।","ଦୂଷିତ ପାନୀ ସହ ସଂପର୍କକୁ ରୋକନ୍ତୁ, ସୁରକ୍ଷିତ ପୋଶାକ ପିନ୍ଧନ୍ତୁ, ବିଲାଇ/ଚୁହା ନିୟନ୍ତ୍ରଣ।",,https://www.who.int/health-topics/leptospirosis,"What are the symptoms of Leptospirosis? || Tell me the symptoms of Leptospirosis. || How do I know if I have Leptospirosis? || Signs of Leptospirosis? || Symptoms for Leptospirosis || I think I have Leptospirosis, what are the symptoms? || How does Leptospirosis show up? || Common symptoms of Leptospirosis",How to prevent Leptospirosis? || Prevention tips for Leptospirosis. || How can I avoid Leptospirosis? || Ways to prevent Leptospirosis || Preventive measures for Leptospirosis || How to reduce risk of Leptospirosis? || Steps to prevent Leptospirosis,Is there a vaccine for Leptospirosis? || Tell me about Leptospirosis vaccine. || Do we have vaccination for Leptospirosis? || Leptospirosis vaccine availability? || Is Leptospirosis vaccine recommended?,ଲେପ୍ଟୋସ୍ପାଇରୋସିସ୍ ଲକ୍ଷଣ କ'ଣ? || ଲେପ୍ଟୋସ୍ପାଇରୋସିସ୍ ର ଲକ୍ଷଣ ବତାନ୍ତୁ। || ମୋତେ କିଭଳି ଜଣିବି ମୋତେ ଲେପ୍ଟୋସ୍ପାଇରୋସିସ୍ ହୋଇଛି କି? || ଲେପ୍ଟୋସ୍ପାଇରୋସିସ୍ ର ସାଧାରଣ ଲକ୍ଷଣ କ'ଣ?,ଲେପ୍ଟୋସ୍ପାଇରୋସିସ୍ କେମିତି ରୋଧ କରିବି? || ଲେପ୍ଟୋସ୍ପାଇରୋସିସ୍ ପାଇଁ ପ୍ରତିରୋଧ ଟିପ୍ସ। || ଲେପ୍ଟୋସ୍ପାଇରୋସିସ୍ ରୁ କିପରି ବଚିବି?,ଲେପ୍ଟୋସ୍ପାଇରୋସିସ୍ ପାଇଁ ଟୀକା ଅଛି କି? || ଲେପ୍ଟୋସ୍ପାଇରୋସିସ୍ ଟୀକା ବିଷୟରେ କହନ୍ତୁ।
